Company|PR_No|Item_No|Delete_Status|Purchasing_Group|Date|Requester|Item_Descriptiom|Item_Code|Plant|Tracking_No|Material_Group|Material_Group_Des|Quantity|Unit|Requisition_Date|Delivery_Date|Release_Date|Price_PR|Price_Unit|Total_Value|Desired_Vendor_Name|Fixed_Vendor_Name|Purchasing_Org|PO_No|PO_ITEM_NO|PO_DATE|PR_Closed|PR_Fixed|Currency|Account_Ass_Cat|GL_Account|Cost_Center|WBS_Code|Department|Section|Objective|comment
TPCC|0010240291|00010||CH1|20210829|KUNUNYA|WOLLASTONITE SH-1000|2720-08A|PC01|C60215406|2000|TPCC Raw Material|3000.000 |KG|20210829|20210831|20210829|66.32 |1 |198960 |||||00000|00000000|||THB|||||TC|PT||
TPCC|0010240292|00010||CH1|20210829|KUNANYA|KHP-25 (KOREA)|2720-03A|PC01|C60215525|2000|TPCC Raw Material|12000.000 |KG|20210829|20210831|20210829|26.56 |1 |318720 |||||00000|00000000|||THB|||||TC|PT||
TPCC|0010240293|00010||CH1|20210829|KUNUNYA|ADK AX71 (JAPAN)|000000000000002310|PC01|C60215505|2000|TPCC Raw Material|120.000 |KG|20210829|20210831|20210829|461.39 |1 |55366.8 |||||00000|00000000|||THB|||||TC|PT||
TPCC|0010240294|00010||CH1|20210829|KUNUNYA|CP WHITE A-106 (JAPAN)|000000000000002347|PC01|C60215513|2000|TPCC Raw Material|12600.000 |KGS|20210829|20210831|20210829|233.37 |1 |2940462 |||||00000|00000000|||THB|||||TC|PT||
MEPT|0010240295|00010||CH1|20210829|NITIWADEE|SUZORITE MICA 325HK|000000000000007213|MP01|M02211026|7000|MEPT raw material|54240.000 |KG|20210829|20210831|20210831|141.00 |1 |7647840 |||||00000|00000000|||THB|||||MKT|BC||
MEPT|0010240296|00010||CH1|20210829|NITIWADEE|RENY N252A BLK01 (BLACK)               A|N252A BLK01-BOI CP|MP01|M02210849|9000|Finished Product|7800.000 |KG|20210829|20210829|20210829|124.28 |1 |969384 |||||00000|00000000|||THB|||||MKT|BC||BOI STOCK
TPCC|0010240297|00010||CH1|20210829|CHARE|POWERSORB 3638|000000000000600301|PC01|C61217026|3000|Fixed Asset|1.000 |UNT|20210829|20210831|20210829|0.00 |1 |0 |||||00000|00000000|||THB|2|0006691129|C00700||QA|RD||
TPAC|0010240298|00010||CH1|20210829|Apirat|Partition Acrylic 600 x 550 x 5 MM.||PA01|A05200011|3000|Fixed Asset|17.000 |EA|20210829|20210831|20210829|920.00 |1 |15640 |||CP01||00000|00000000|||THB|0|0001620101||600104Y19ADM00005|AD|AD|Partition Acrylic for Meeting room.|
TPCC|0010240299|00010||CM1|20210829|Usa|TISSUE SCOTT INTER FOLDED 2 PLY|000000000000600103|PC01|C05200008|6000|Expenses|8.000 |EA|20210829|20210831|20210829|1160.00 |1 |9280 |||CP01||00000|00000000|||THB|2|0006202101|C00501||AD|AD||
TPAC|0010240300|00010||CH1|20210829|Jiraporn|PORTONE CHAIR"OKAMURA"||PA01|Y03190009|3000|Fixed Asset|1.000 |EA|20210829|20210831|20210829|6200.00 |1 |6200 |||CP01||00000|00000000|||THB|0|0001620101||301002Y19PH0A0001|PH|PS|To replace chair.|
MEPT|0010240301|00010||MP1|20210829|Busaya|PURCHASE ORDER FORM 'MEPT'|000000000000600102|MP01|M03190005|6000|Expenses|3000.000 |PC|20210829|20210831|20210831|1.14 |1 |3420 |||CP01||00000|00000000|||THB|2|0006691102|M00300||PH|PS||
MEPT|0010240302|00010||MP1|20210829|M02200818|RIBBON CARTRIDGE EPSON LQ-590/590H|000000000000600217|MP01|POTCHAWAN|6000|Expenses|6.000 |EA|20210829|20210831|20210831|0.00 |1 |0 |||CP01||00000|00000000|||THB|2|0006201101|M00201||MK|BC||
TPCC|0010240303|00010||CH1|20210829|Kittiya|CARD RING "SDI" SIZE 2"|000000000000600102|PC01|C04200011|6000|Expenses|480.000 |PC|20210829|20210831|20210829|440.00 |1 |211200 |||CP01||00000|00000000|||THB|2|0006691102|C00401||AC|FI||
TPCC|0010240304|00010||CH1|20210829|Aphiphon|DELL MONITER P2419H|000000000000600217|PC01|C06190075|6000|Expenses|2.000 |EA|20210829|20210831|20210829|5700.00 |1 |11400 |||CP01||00000|00000000|||THB|2|0006201101|C00601||IT|IT||
TPCC|0010240305|00010||CH1|20210829|C06210014|SAP MIGRATION SERVER AND DATABASE|000000000000600217|PC01|SUWANNA|6000|Expenses|1.000 |EA|20210829|20210829|20210829|1550000.00 |1 |1550000 |||CP01||00000|00000000|||THB|2|0006201101|C00601||IT|IT||
TPCC|0010240306|00010||CH1|20210829|Witoon|REPLACE NEW H/W AND S/W DC-DR||PC01|C06200041|3000|Fixed Asset|1.000 |SET|20210829|20210831|20210829|12000000.00 |1 |12000000 |||CP01||00000|00000000|||THB|0|0001620101||301505C20IT000005|IT|IT||
