Company|PR_No|Item_No|Delete_Status|Purchasing_Group|Date|Requester|Item_Descriptiom|Item_Code|Plant|Tracking_No|Material_Group|Material_Group_Des|Quantity|Unit|Requisition_Date|Delivery_Date|Release_Date|Price_PR|Price_Unit|Total_Value|Desired_Vendor_Name|Fixed_Vendor_Name|Purchasing_Org|PO_No|PO_ITEM_NO|PO_DATE|PR_Closed|PR_Fixed|Currency|Account_Ass_Cat|GL_Account|Cost_Center|WBS_Code|Department|Section|Objective|comment
MEPT|0010238702|00010||CH1|20210628|JITTRA|PPE RESIN PX100F|000000000000007102|MP51|M02210835|7000|MEPT raw material|9200.000 |KG|20210628|20210813|20210714|3057.00 |1000 |898830.5120400 |MITSUBISHI ENGINEERING-PLASTICS COR||||00000|00000000|||THB||||||||AUG/REQUEST ETA AT LCB PORT.
MEPT|0010238702|00020||CH1|20210628|JITTRA|PPE RESIN PX100L|000000000000007100|MP51|M02210835|7000|MEPT raw material|4700.000 |KG|20210628|20210813|20210714|3057.00 |1000 |459185.1528900 |MITSUBISHI ENGINEERING-PLASTICS COR||||00000|00000000|||THB||||||||AUG/REQUEST ETA AT LCB PORT.
MEPT|0010238703|00010||CH1|20210628|JITTRA|SUZORITE MICA 325HK|000000000000007213|MP51|M02210836|7000|MEPT raw material|4068.000 |KG|20210628|20210813|20210813|28.91 |1 |117605.88 |SUMITOMO CORPORATION THAILAND.,LTD||||00000|00000000|||THB||||||||LOCAL PRICE/DELIVERY TO DAINICHI FOR COMPOUNDING PPE END OF AUG.
MEPT|0010238704|00010||CH1|20210628|JITTRA|CR733S|000000000000007206|MP51|M02210837|7000|MEPT raw material|3250.000 |KG|20210628|20210813|20210714|5420.00 |1000 |562959.546500 |MITSUBISHI ENGINEERING-PLASTICS COR||||00000|00000000|||THB||||||||ETA AT LCB PORT.
MEPT|0010238704|00020||CH1|20210628|JITTRA|MASTER BATCH SBF-M-8800|000000000000007203|MP51|M02210837|7000|MEPT raw material|250.000 |KG|20210628|20210813|20210714|5610.00 |1000 |44822.6377500 |MITSUBISHI ENGINEERING-PLASTICS COR||||00000|00000000|||THB||||||||ETA AT LCB PORT.
MEPT|0010238704|00030||CH1|20210628|JITTRA|MAGNESIUM STEARATE|000000000000007232|MP51|M02210837|7000|MEPT raw material|120.000 |KG|20210628|20210813|20210813|3750.00 |1000 |14381.5950 |MITSUBISHI ENGINEERING-PLASTICS COR||||00000|00000000|||THB||||||||ETA AT LCB PORT.
MEPT|0010238705|00010||CH1|20210628|JITTRA|POLYSTYRENE THF77|000000000000007254|MP51|M02210838|7000|MEPT raw material|11000.000 |KG|20210628|20210813|20210813|49.00 |1 |539000 |GRAND POLYMERS INTER CO.,LTD.||||00000|00000000|||THB||||||||LOCAL PRICE/DELIVERY TO DAINICHI FOR COMPOUNDING PPE END OF AUG.
MEPT|0010238706|00010||CH1|20210628|JITTRA|IUPIACE (PPE) GX1210 9001P (BLACK)     A|GX1210 9001P CP|MP51|M02210839|9000|Finished Product|40000.000 |KG|20210628|20210915|20210915|14.53 |1 |581200 |DAINICHI COLOR (THAILAND)LTD.||||00000|00000000|||THB||||||||BOI STOCK/DELIVERY TO UTLC AMATA/COMPOUNDING FEE FOR PPE IN SEP.
TPCC|0010238707|00010||CH1|20210628|Kununya|SULFURIC ACID ( 98 wt % )|000000000000002205|PC01|C60214043|2000|TPCC Raw Material|169000.000 |KG|20210628|20210701|20210629|4.14 |1 |699660 |||||00000|00000000|||THB||||||||Sahapaisal
TPCC|0010238708|00010||CH1|20210628|Kununya|SULFURIC ACID ( 98 wt % )|000000000000002205|PC01|C60214044|2000|TPCC Raw Material|165000.000 |KG|20210628|20210701|20210629|4.14 |1 |683100 |||||00000|00000000|||THB||||||||Witcorp
