Company|PR_No|Item_No|Delete_Status|Purchasing_Group|Date|Requester|Item_Descriptiom|Item_Code|Plant|Tracking_No|Material_Group|Material_Group_Des|Quantity|Unit|Requisition_Date|Delivery_Date|Release_Date|Price_PR|Price_Unit|Total_Value|Desired_Vendor_Name|Fixed_Vendor_Name|Purchasing_Org|PO_No|PO_ITEM_NO|PO_DATE|PR_Closed|PR_Fixed|Currency|Account_Ass_Cat|GL_Account|Cost_Center|WBS_Code|Department|Section|Objective|comment
TPCC|0010236351|00010||CH1|20210705|Bussaba|BISPHENOL-A_MCC-BAG|2208-1|PC01|C60217013|2000|TPCC Raw Material|4500.000 |MT|20210513|20210713|20210711|74172.67 |1 |333777015 ||||4530092465|00010|20210705|||THB|||||TC|VP||
MEPT|0010239066|00010||CH1|20210705|NITIWADEE|NYLON RESIN U4800|000000000000007134|MP51|M02210860|7000|MEPT raw material|3000.000 |KG|20210705|20210825|20210825|2980.00 |1000 |289111.5540 |MITSUBISHI ENGINEERING-PLASTICS COR||||00000|00000000|||THB||||||||BOI STOCK / Delivery to SIK
MEPT|0010239066|00020||CH1|20210705|NITIWADEE|TALC MS|000000000000007218|MP51|M02210860|7000|MEPT raw material|200.000 |KG|20210705|20210825|20210825|1310.00 |1000 |8472.844200 |MITSUBISHI ENGINEERING-PLASTICS COR||||00000|00000000|||THB||||||||BOI STOCK / Delivery to SIK
MEPT|0010239066|00060||CH1|20210705|NITIWADEE|MASTER BATCH 45-50|000000000000007222|MP51|M02210860|7000|MEPT raw material|200.000 |KG|20210705|20210825|20210825|11530.00 |1000 |74573.964600 |MITSUBISHI ENGINEERING-PLASTICS COR||||00000|00000000|||THB||||||||BOI STOCK / Delivery to SIK
MEPT|0010239066|00070||CH1|20210705|NITIWADEE|FATTY ACID POLYAMIDE LIGHT AMIDE WH-255|000000000000007217|MP51|M02210860|7000|MEPT raw material|30.000 |KG|20210705|20210825|20210825|10660.00 |1000 |10342.0441800 |MITSUBISHI ENGINEERING-PLASTICS COR||||00000|00000000|||THB||||||||BOI STOCK / Delivery to SIK
MEPT|0010239067|00010||CH1|20210705|NITIWADEE|PA RESIN MX NYLON 6900LP|000000000000007137|MP51|M02210861|7000|MEPT raw material|40000.000 |KG|20210705|20210928|20210928|5800.00 |1000 |7502671.20 |MITSUBISHI ENGINEERING-PLASTICS COR||||00000|00000000|||THB||||||||BOI STOCK / Delivery to SIK
MEPT|0010239070|00010||CH1|20210705|NITIWADEE|NYLON RESIN U4800|000000000000007134|MP51|M02210862|7000|MEPT raw material|8000.000 |KG|20210705|20210825|20210825|2980.00 |1000 |770964.1440 |MITSUBISHI ENGINEERING-PLASTICS COR||||00000|00000000|||THB||||||||LOCAL STOCK / Delivery to SIK
MEPT|0010239070|00020||CH1|20210705|NITIWADEE|TALC MS|000000000000007218|MP51|M02210862|7000|MEPT raw material|2000.000 |KG|20210705|20210825|20210825|1310.00 |1000 |84728.4420 |MITSUBISHI ENGINEERING-PLASTICS COR||||00000|00000000|||THB||||||||LOCAL STOCK / Delivery to SIK
MEPT|0010239070|00030||CH1|20210705|NITIWADEE|BARIUM STEARATE GRADE: SB|000000000000007219|MP51|M02210862|7000|MEPT raw material|400.000 |KG|20210705|20210825|20210825|5520.00 |1000 |71404.732800 |MITSUBISHI ENGINEERING-PLASTICS COR||||00000|00000000|||THB||||||||LOCAL STOCK / Delivery to SIK
MEPT|0010239070|00040||CH1|20210705|NITIWADEE|FATTY ACID POLYAMIDE LIGHT AMIDE WH-255|000000000000007217|MP51|M02210862|7000|MEPT raw material|30.000 |KG|20210705|20210825|20210825|10660.00 |1000 |10342.0441800 |MITSUBISHI ENGINEERING-PLASTICS COR||||00000|00000000|||THB||||||||LOCAL STOCK / Delivery to SIK
